Archive_Date,Adult_Child,Age_Profile,Case_Type,Speciality_Name,Specialty_HIPE,Time_Bands,Total,Source.Name
10-07-2018,Adult,16-64,Outpatient,Ophthalmology,H08,12-15 Months,37,Hospital_DB_Extract.xlsx
22-07-2018,Adult,16-64,Outpatient,General Surgery,H06,0-3 Months,61,Hospital_DB_Extract.xlsx
28-12-2018,Adult,16-64,Outpatient,Orthopaedics,H01,0-3 Months,77,Hospital_DB_Extract.xlsx
24-06-2018,Adult,16-64,Outpatient,Cardiology,H07,15-18 Months,98,Hospital_DB_Extract.xlsx
05-08-2020,Adult,16-64,Outpatient,General Surgery,H06,9-12 Months,80,Hospital_DB_Extract.xlsx
11-12-2019,Child,0-15,Inpatient,General Surgery,H06,9-12 Months,4,Hospital_DB_Extract.xlsx
20-11-2019,Adult,16-64,Outpatient,Cardiology,H07,12-15 Months,149,Hospital_DB_Extract.xlsx
10-06-2019,Child,0-15,Outpatient,Paediatric Urology,H05,3-6 Months,18,Hospital_DB_Extract.xlsx
18-08-2020,Adult,16-64,Day Case,Cardiology,H07,9-12 Months,120,Hospital_DB_Extract.xlsx
26-11-2019,Adult,16-64,Outpatient,Otolaryngology (ENT),H02,15-18 Months,64,Hospital_DB_Extract.xlsx
18-05-2020,Adult,16-64,Day Case,Orthopaedics,H01,6-9 Months,13,Hospital_DB_Extract.xlsx
23-05-2019,Child,0-15,Outpatient,Paediatric Dermatology,H04,12-15 Months,88,Hospital_DB_Extract.xlsx
11-06-2018,Child,0-15,Outpatient,Paediatric Urology,H05,15-18 Months,55,Hospital_DB_Extract.xlsx
19-12-2020,Adult,16-64,Outpatient,Otolaryngology (ENT),H02,18+ Months,52,Hospital_DB_Extract.xlsx
07-10-2019,Child,0-15,Outpatient,Ophthalmology,H08,0-3 Months,12,Hospital_DB_Extract.xlsx
20-06-2018,Adult,16-64,Inpatient,Cardiology,H07,3-6 Months,132,Hospital_DB_Extract.xlsx
15-10-2018,Child,0-15,Day Case,Paed Orthopaedic,H03,3-6 Months,2,Hospital_DB_Extract.xlsx
22-11-2019,Adult,16-64,Outpatient,Cardiology,H07,15-18 Months,139,Hospital_DB_Extract.xlsx
03-01-2018,Child,0-15,Inpatient,Paediatric Urology,H05,6-9 Months,145,Hospital_DB_Extract.xlsx
05-08-2020,Child,0-15,Outpatient,Paed Orthopaedic,H03,0-3 Months,59,Hospital_DB_Extract.xlsx
08-10-2019,Adult,16-64,Day Case,Cardiology,H07,9-12 Months,145,Hospital_DB_Extract.xlsx
08-08-2019,Adult,16-64,Day Case,Otolaryngology (ENT),H02,18+ Months,122,Hospital_DB_Extract.xlsx
20-11-2018,Child,0-15,Outpatient,Paediatric Urology,H05,15-18 Months,6,Hospital_DB_Extract.xlsx
09-02-2019,Child,0-15,Outpatient,Paediatric Urology,H05,0-3 Months,13,Hospital_DB_Extract.xlsx
04-10-2020,Adult,16-64,Outpatient,Orthopaedics,H01,9-12 Months,2,Hospital_DB_Extract.xlsx
03-02-2019,Child,0-15,Day Case,Paediatric Urology,H05,12-15 Months,122,Hospital_DB_Extract.xlsx
14-07-2020,Adult,16-64,Outpatient,Otolaryngology (ENT),H02,0-3 Months,62,Hospital_DB_Extract.xlsx
24-11-2018,Adult,16-64,Outpatient,Cardiology,H07,6-9 Months,128,Hospital_DB_Extract.xlsx
11-10-2018,Child,0-15,Inpatient,Paediatric Urology,H05,6-9 Months,16,Hospital_DB_Extract.xlsx
06-02-2020,Child,0-15,Inpatient,Paed Orthopaedic,H03,0-3 Months,21,Hospital_DB_Extract.xlsx
23-06-2019,Adult,65+,Inpatient,General Surgery,H06,6-9 Months,135,Hospital_DB_Extract.xlsx
23-04-2019,Child,0-15,Outpatient,Paediatric Urology,H05,15-18 Months,11,Hospital_DB_Extract.xlsx
10-09-2020,Adult,16-64,Outpatient,General Surgery,H06,12-15 Months,18,Hospital_DB_Extract.xlsx
01-12-2019,Child,0-15,Outpatient,Paediatric Urology,H05,9-12 Months,93,Hospital_DB_Extract.xlsx
18-08-2019,Child,0-15,Outpatient,Paed Orthopaedic,H03,3-6 Months,2,Hospital_DB_Extract.xlsx
11-12-2020,Child,0-15,Outpatient,Paed Orthopaedic,H03,18+ Months,135,Hospital_DB_Extract.xlsx
02-05-2019,Child,0-15,Outpatient,Orthopaedics,H01,18+ Months,19,Hospital_DB_Extract.xlsx
18-05-2019,Adult,16-64,Outpatient,Orthopaedics,H01,18+ Months,70,Hospital_DB_Extract.xlsx
11-04-2019,Child,0-15,Outpatient,Orthopaedics,H01,18+ Months,117,Hospital_DB_Extract.xlsx
11-09-2018,Child,0-15,Outpatient,Paediatric Dermatology,H04,18+ Months,144,Hospital_DB_Extract.xlsx
04-02-2019,Child,0-15,Outpatient,Paediatric Urology,H05,18+ Months,36,Hospital_DB_Extract.xlsx
15-07-2019,Adult,16-64,Outpatient,Orthopaedics,H01,18+ Months,138,Hospital_DB_Extract.xlsx
02-03-2018,Adult,16-64,Outpatient,General Surgery,H06,3-6 Months,45,Hospital_DB_Extract.xlsx
04-01-2018,Child,0-15,Outpatient,Orthopaedics,H01,18+ Months,24,Hospital_DB_Extract.xlsx
06-03-2020,Adult,16-64,Outpatient,Otolaryngology (ENT),H02,15-18 Months,145,Hospital_DB_Extract.xlsx
16-02-2018,Adult,65+,Outpatient,Ophthalmology,H08,18+ Months,134,Hospital_DB_Extract.xlsx
25-08-2019,Child,0-15,Outpatient,Otolaryngology (ENT),H02,12-15 Months,147,Hospital_DB_Extract.xlsx
24-05-2019,Adult,16-64,Outpatient,Otolaryngology (ENT),H02,3-6 Months,108,Hospital_DB_Extract.xlsx
01-12-2019,Adult,65+,Day Case,General Surgery,H06,3-6 Months,86,Hospital_DB_Extract.xlsx
14-04-2019,Adult,65+,Outpatient,Cardiology,H07,3-6 Months,69,Hospital_DB_Extract.xlsx
05-06-2019,Adult,65+,Day Case,Cardiology,H07,12-15 Months,138,Hospital_DB_Extract.xlsx
04-11-2019,Child,0-15,Outpatient,Paediatric Urology,H05,18+ Months,42,Hospital_DB_Extract.xlsx
14-03-2020,Child,0-15,Outpatient,Ophthalmology,H08,18+ Months,98,Hospital_DB_Extract.xlsx
06-05-2020,Adult,16-64,Outpatient,General Surgery,H06,15-18 Months,149,Hospital_DB_Extract.xlsx
25-07-2018,Adult,65+,Outpatient,Ophthalmology,H08,0-3 Months,57,Hospital_DB_Extract.xlsx
26-06-2019,Adult,16-64,Outpatient,Ophthalmology,H08,12-15 Months,77,Hospital_DB_Extract.xlsx
23-07-2019,Child,0-15,Outpatient,Paediatric Dermatology,H04,18+ Months,104,Hospital_DB_Extract.xlsx
09-06-2019,Child,0-15,Outpatient,Paediatric Urology,H05,9-12 Months,108,Hospital_DB_Extract.xlsx
13-01-2019,Adult,65+,Outpatient,General Surgery,H06,6-9 Months,127,Hospital_DB_Extract.xlsx
04-11-2019,Adult,16-64,Day Case,General Surgery,H06,3-6 Months,119,Hospital_DB_Extract.xlsx
01-07-2018,Adult,16-64,Outpatient,Ophthalmology,H08,18+ Months,123,Hospital_DB_Extract.xlsx
04-10-2018,Child,0-15,Outpatient,Ophthalmology,H08,3-6 Months,115,Hospital_DB_Extract.xlsx
25-11-2019,Adult,16-64,Outpatient,Otolaryngology (ENT),H02,18+ Months,9,Hospital_DB_Extract.xlsx
24-05-2018,Adult,16-64,Outpatient,Orthopaedics,H01,3-6 Months,26,Hospital_DB_Extract.xlsx
24-10-2020,Adult,16-64,Outpatient,Cardiology,H07,6-9 Months,102,Hospital_DB_Extract.xlsx
29-09-2018,Adult,65+,Outpatient,Ophthalmology,H08,18+ Months,109,Hospital_DB_Extract.xlsx
25-08-2019,Child,0-15,Outpatient,Paediatric Urology,H05,18+ Months,29,Hospital_DB_Extract.xlsx
08-03-2018,Child,0-15,Outpatient,Paediatric Urology,H05,18+ Months,27,Hospital_DB_Extract.xlsx
20-12-2019,Adult,65+,Outpatient,Otolaryngology (ENT),H02,18+ Months,37,Hospital_DB_Extract.xlsx
17-07-2020,Adult,16-64,Outpatient,Otolaryngology (ENT),H02,18+ Months,43,Hospital_DB_Extract.xlsx
18-07-2018,Child,0-15,Outpatient,Paed Orthopaedic,H03,9-12 Months,47,Hospital_DB_Extract.xlsx
01-02-2019,Child,0-15,Outpatient,Paediatric Urology,H05,18+ Months,1,Hospital_DB_Extract.xlsx
16-12-2018,Child,0-15,Day Case,Paediatric Dermatology,H04,15-18 Months,58,Hospital_DB_Extract.xlsx
29-02-2020,Adult,65+,Outpatient,Otolaryngology (ENT),H02,3-6 Months,6,Hospital_DB_Extract.xlsx
30-10-2018,Adult,16-64,Outpatient,Orthopaedics,H01,3-6 Months,148,Hospital_DB_Extract.xlsx
11-12-2020,Child,0-15,Day Case,Ophthalmology,H08,6-9 Months,96,Hospital_DB_Extract.xlsx
09-06-2018,Child,0-15,Day Case,Paediatric Dermatology,H04,0-3 Months,117,Hospital_DB_Extract.xlsx
07-11-2018,Adult,16-64,Outpatient,Cardiology,H07,15-18 Months,4,Hospital_DB_Extract.xlsx
15-01-2020,Child,0-15,Outpatient,Paediatric Dermatology,H04,0-3 Months,65,Hospital_DB_Extract.xlsx
10-09-2020,Child,0-15,Outpatient,Paediatric Dermatology,H04,6-9 Months,16,Hospital_DB_Extract.xlsx
06-01-2020,Adult,16-64,Day Case,Ophthalmology,H08,6-9 Months,39,Hospital_DB_Extract.xlsx
07-07-2019,Adult,16-64,Outpatient,Otolaryngology (ENT),H02,18+ Months,1,Hospital_DB_Extract.xlsx
31-10-2020,Adult,16-64,Day Case,Ophthalmology,H08,12-15 Months,145,Hospital_DB_Extract.xlsx
21-11-2020,Child,0-15,Outpatient,Paed Orthopaedic,H03,15-18 Months,132,Hospital_DB_Extract.xlsx
06-11-2019,Child,0-15,Outpatient,Paediatric Urology,H05,18+ Months,102,Hospital_DB_Extract.xlsx
25-04-2020,Adult,65+,Day Case,Cardiology,H07,3-6 Months,90,Hospital_DB_Extract.xlsx
12-07-2020,Adult,16-64,Outpatient,General Surgery,H06,3-6 Months,45,Hospital_DB_Extract.xlsx
25-08-2018,Child,0-15,Day Case,General Surgery,H06,15-18 Months,150,Hospital_DB_Extract.xlsx
02-07-2020,Child,0-15,Outpatient,Paed Orthopaedic,H03,18+ Months,70,Hospital_DB_Extract.xlsx
20-06-2018,Adult,65+,Outpatient,Cardiology,H07,18+ Months,14,Hospital_DB_Extract.xlsx
10-06-2020,Adult,16-64,Outpatient,Cardiology,H07,18+ Months,12,Hospital_DB_Extract.xlsx
13-04-2020,Adult,65+,Outpatient,Orthopaedics,H01,15-18 Months,141,Hospital_DB_Extract.xlsx
24-01-2019,Adult,16-64,Day Case,Otolaryngology (ENT),H02,9-12 Months,19,Hospital_DB_Extract.xlsx
05-02-2020,Adult,65+,Outpatient,Ophthalmology,H08,15-18 Months,136,Hospital_DB_Extract.xlsx
27-08-2019,Adult,16-64,Outpatient,General Surgery,H06,0-3 Months,118,Hospital_DB_Extract.xlsx
18-08-2019,Adult,65+,Outpatient,Ophthalmology,H08,3-6 Months,92,Hospital_DB_Extract.xlsx
24-08-2018,Adult,16-64,Day Case,General Surgery,H06,3-6 Months,44,Hospital_DB_Extract.xlsx
28-07-2018,Child,0-15,Outpatient,Ophthalmology,H08,9-12 Months,128,Hospital_DB_Extract.xlsx
06-10-2019,Child,0-15,Outpatient,General Surgery,H06,18+ Months,80,Hospital_DB_Extract.xlsx
02-06-2020,Child,0-15,Outpatient,Paediatric Dermatology,H04,3-6 Months,88,Hospital_DB_Extract.xlsx
05-06-2018,Adult,16-64,Outpatient,Otolaryngology (ENT),H02,0-3 Months,47,Hospital_DB_Extract.xlsx
06-07-2019,Adult,65+,Outpatient,Cardiology,H07,15-18 Months,78,Hospital_DB_Extract.xlsx
19-02-2020,Child,0-15,Day Case,Paediatric Dermatology,H04,18+ Months,69,Hospital_DB_Extract.xlsx
18-12-2020,Adult,16-64,Outpatient,General Surgery,H06,9-12 Months,64,Hospital_DB_Extract.xlsx
28-05-2018,Child,0-15,Inpatient,Paediatric Dermatology,H04,6-9 Months,62,Hospital_DB_Extract.xlsx
24-11-2018,Child,0-15,Outpatient,General Surgery,H06,6-9 Months,78,Hospital_DB_Extract.xlsx
18-05-2018,Adult,16-64,Outpatient,Otolaryngology (ENT),H02,18+ Months,66,Hospital_DB_Extract.xlsx
19-10-2020,Child,0-15,Outpatient,Paediatric Dermatology,H04,3-6 Months,23,Hospital_DB_Extract.xlsx
25-05-2018,Adult,65+,Outpatient,Orthopaedics,H01,18+ Months,12,Hospital_DB_Extract.xlsx
10-01-2018,Child,0-15,Outpatient,Paediatric Urology,H05,18+ Months,42,Hospital_DB_Extract.xlsx
17-01-2019,Child,0-15,Inpatient,Paediatric Urology,H05,3-6 Months,119,Hospital_DB_Extract.xlsx
18-09-2018,Child,0-15,Outpatient,Paediatric Dermatology,H04,18+ Months,63,Hospital_DB_Extract.xlsx
09-08-2019,Child,0-15,Outpatient,Paediatric Dermatology,H04,12-15 Months,103,Hospital_DB_Extract.xlsx
24-03-2019,Adult,16-64,Day Case,Otolaryngology (ENT),H02,0-3 Months,17,Hospital_DB_Extract.xlsx
21-06-2019,Adult,16-64,Outpatient,General Surgery,H06,6-9 Months,102,Hospital_DB_Extract.xlsx
11-02-2019,Adult,65+,Outpatient,Orthopaedics,H01,3-6 Months,16,Hospital_DB_Extract.xlsx
06-08-2019,Adult,65+,Outpatient,Cardiology,H07,18+ Months,136,Hospital_DB_Extract.xlsx
17-12-2018,Adult,65+,Day Case,Ophthalmology,H08,0-3 Months,14,Hospital_DB_Extract.xlsx
19-01-2020,Child,0-15,Outpatient,General Surgery,H06,18+ Months,95,Hospital_DB_Extract.xlsx
10-12-2019,Adult,65+,Inpatient,Otolaryngology (ENT),H02,15-18 Months,37,Hospital_DB_Extract.xlsx
05-05-2018,Adult,16-64,Outpatient,Orthopaedics,H01,12-15 Months,106,Hospital_DB_Extract.xlsx
10-07-2019,Adult,16-64,Outpatient,Orthopaedics,H01,18+ Months,70,Hospital_DB_Extract.xlsx
21-07-2020,Child,0-15,Day Case,Paed Orthopaedic,H03,12-15 Months,5,Hospital_DB_Extract.xlsx
11-02-2020,Adult,65+,Day Case,Otolaryngology (ENT),H02,15-18 Months,128,Hospital_DB_Extract.xlsx
18-03-2020,Child,0-15,Outpatient,Paediatric Urology,H05,9-12 Months,61,Hospital_DB_Extract.xlsx
29-06-2018,Adult,16-64,Day Case,General Surgery,H06,18+ Months,94,Hospital_DB_Extract.xlsx
02-10-2018,Adult,16-64,Outpatient,Otolaryngology (ENT),H02,18+ Months,81,Hospital_DB_Extract.xlsx
15-05-2020,Adult,65+,Outpatient,Otolaryngology (ENT),H02,15-18 Months,59,Hospital_DB_Extract.xlsx
24-04-2018,Adult,65+,Inpatient,Otolaryngology (ENT),H02,0-3 Months,103,Hospital_DB_Extract.xlsx
24-02-2018,Adult,16-64,Outpatient,General Surgery,H06,0-3 Months,113,Hospital_DB_Extract.xlsx
17-04-2019,Child,0-15,Outpatient,Paediatric Dermatology,H04,0-3 Months,85,Hospital_DB_Extract.xlsx
15-03-2019,Adult,16-64,Day Case,Orthopaedics,H01,9-12 Months,140,Hospital_DB_Extract.xlsx
09-03-2019,Child,0-15,Outpatient,Paed Orthopaedic,H03,0-3 Months,135,Hospital_DB_Extract.xlsx
28-10-2018,Adult,16-64,Outpatient,Ophthalmology,H08,15-18 Months,104,Hospital_DB_Extract.xlsx
23-08-2018,Adult,16-64,Outpatient,Cardiology,H07,12-15 Months,25,Hospital_DB_Extract.xlsx
30-05-2019,Adult,16-64,Outpatient,General Surgery,H06,18+ Months,29,Hospital_DB_Extract.xlsx
19-02-2020,Adult,16-64,Day Case,Otolaryngology (ENT),H02,15-18 Months,148,Hospital_DB_Extract.xlsx
06-05-2020,Adult,16-64,Outpatient,General Surgery,H06,18+ Months,92,Hospital_DB_Extract.xlsx
09-01-2019,Adult,16-64,Outpatient,General Surgery,H06,18+ Months,28,Hospital_DB_Extract.xlsx
26-06-2020,Adult,65+,Outpatient,Orthopaedics,H01,9-12 Months,93,Hospital_DB_Extract.xlsx
26-11-2018,Child,0-15,Outpatient,Paed Orthopaedic,H03,18+ Months,145,Hospital_DB_Extract.xlsx
22-08-2019,Child,0-15,Outpatient,Ophthalmology,H08,9-12 Months,55,Hospital_DB_Extract.xlsx
06-06-2018,Child,0-15,Outpatient,Paediatric Urology,H05,3-6 Months,82,Hospital_DB_Extract.xlsx
28-06-2018,Adult,16-64,Outpatient,Cardiology,H07,15-18 Months,123,Hospital_DB_Extract.xlsx
19-05-2018,Adult,16-64,Day Case,Orthopaedics,H01,18+ Months,71,Hospital_DB_Extract.xlsx
20-06-2018,Child,0-15,Outpatient,Paed Orthopaedic,H03,15-18 Months,96,Hospital_DB_Extract.xlsx
21-11-2020,Child,0-15,Day Case,General Surgery,H06,18+ Months,122,Hospital_DB_Extract.xlsx
18-06-2020,Adult,16-64,Inpatient,Ophthalmology,H08,0-3 Months,46,Hospital_DB_Extract.xlsx
19-09-2018,Adult,65+,Outpatient,Otolaryngology (ENT),H02,6-9 Months,41,Hospital_DB_Extract.xlsx
09-05-2019,Child,0-15,Inpatient,Paediatric Dermatology,H04,15-18 Months,86,Hospital_DB_Extract.xlsx
18-02-2018,Adult,16-64,Outpatient,Otolaryngology (ENT),H02,9-12 Months,69,Hospital_DB_Extract.xlsx
14-03-2020,Child,0-15,Outpatient,Paed Orthopaedic,H03,6-9 Months,118,Hospital_DB_Extract.xlsx
04-01-2019,Adult,16-64,Outpatient,Otolaryngology (ENT),H02,18+ Months,63,Hospital_DB_Extract.xlsx
27-05-2020,Adult,16-64,Outpatient,Ophthalmology,H08,3-6 Months,4,Hospital_DB_Extract.xlsx
28-05-2018,Child,0-15,Outpatient,Paediatric Urology,H05,18+ Months,108,Hospital_DB_Extract.xlsx
27-02-2020,Child,0-15,Outpatient,Ophthalmology,H08,9-12 Months,12,Hospital_DB_Extract.xlsx
24-07-2018,Adult,16-64,Day Case,Orthopaedics,H01,6-9 Months,144,Hospital_DB_Extract.xlsx
14-12-2020,Child,0-15,Inpatient,Cardiology,H07,3-6 Months,29,Hospital_DB_Extract.xlsx
05-06-2018,Adult,16-64,Inpatient,Cardiology,H07,15-18 Months,51,Hospital_DB_Extract.xlsx
20-08-2019,Adult,16-64,Outpatient,Orthopaedics,H01,3-6 Months,122,Hospital_DB_Extract.xlsx
11-01-2019,Adult,16-64,Outpatient,Orthopaedics,H01,15-18 Months,8,Hospital_DB_Extract.xlsx
29-12-2019,Adult,16-64,Day Case,Otolaryngology (ENT),H02,15-18 Months,83,Hospital_DB_Extract.xlsx
21-04-2019,Child,0-15,Outpatient,Paediatric Urology,H05,12-15 Months,31,Hospital_DB_Extract.xlsx
16-08-2019,Adult,16-64,Day Case,Orthopaedics,H01,18+ Months,136,Hospital_DB_Extract.xlsx
11-01-2019,Child,0-15,Outpatient,General Surgery,H06,9-12 Months,122,Hospital_DB_Extract.xlsx
11-05-2018,Adult,16-64,Day Case,Ophthalmology,H08,18+ Months,43,Hospital_DB_Extract.xlsx
05-11-2020,Child,0-15,Outpatient,Paed Orthopaedic,H03,18+ Months,86,Hospital_DB_Extract.xlsx
29-01-2020,Child,0-15,Outpatient,Paed Orthopaedic,H03,18+ Months,141,Hospital_DB_Extract.xlsx
28-11-2019,Child,0-15,Outpatient,Paed Orthopaedic,H03,18+ Months,8,Hospital_DB_Extract.xlsx
04-10-2019,Adult,16-64,Outpatient,Cardiology,H07,18+ Months,96,Hospital_DB_Extract.xlsx
15-03-2020,Adult,16-64,Outpatient,Orthopaedics,H01,9-12 Months,120,Hospital_DB_Extract.xlsx
18-09-2018,Adult,65+,Outpatient,Ophthalmology,H08,18+ Months,34,Hospital_DB_Extract.xlsx
10-06-2019,Adult,16-64,Day Case,Otolaryngology (ENT),H02,18+ Months,144,Hospital_DB_Extract.xlsx
09-01-2018,Child,0-15,Outpatient,Paediatric Urology,H05,18+ Months,43,Hospital_DB_Extract.xlsx
03-09-2020,Child,0-15,Outpatient,General Surgery,H06,6-9 Months,37,Hospital_DB_Extract.xlsx
26-10-2020,Child,0-15,Inpatient,Paed Orthopaedic,H03,15-18 Months,74,Hospital_DB_Extract.xlsx
15-12-2020,Child,0-15,Outpatient,Paediatric Urology,H05,3-6 Months,25,Hospital_DB_Extract.xlsx
17-04-2020,Adult,16-64,Day Case,Ophthalmology,H08,3-6 Months,29,Hospital_DB_Extract.xlsx
27-11-2019,Adult,16-64,Inpatient,Cardiology,H07,9-12 Months,97,Hospital_DB_Extract.xlsx
27-05-2018,Child,0-15,Outpatient,Paediatric Urology,H05,3-6 Months,75,Hospital_DB_Extract.xlsx
12-06-2018,Adult,16-64,Outpatient,General Surgery,H06,18+ Months,106,Hospital_DB_Extract.xlsx
18-12-2020,Child,0-15,Day Case,Paediatric Dermatology,H04,6-9 Months,99,Hospital_DB_Extract.xlsx
03-04-2019,Adult,16-64,Outpatient,Ophthalmology,H08,9-12 Months,109,Hospital_DB_Extract.xlsx
28-01-2020,Child,0-15,Inpatient,Paediatric Urology,H05,0-3 Months,64,Hospital_DB_Extract.xlsx
21-05-2018,Adult,16-64,Outpatient,Otolaryngology (ENT),H02,18+ Months,103,Hospital_DB_Extract.xlsx
28-01-2018,Adult,65+,Inpatient,Ophthalmology,H08,15-18 Months,27,Hospital_DB_Extract.xlsx
08-09-2018,Adult,16-64,Inpatient,Orthopaedics,H01,3-6 Months,76,Hospital_DB_Extract.xlsx
26-05-2018,Child,0-15,Outpatient,Paed Orthopaedic,H03,9-12 Months,85,Hospital_DB_Extract.xlsx
22-09-2020,Child,0-15,Outpatient,Paediatric Urology,H05,18+ Months,53,Hospital_DB_Extract.xlsx
15-11-2020,Child,0-15,Outpatient,Paediatric Dermatology,H04,3-6 Months,83,Hospital_DB_Extract.xlsx
21-03-2020,Adult,16-64,Outpatient,General Surgery,H06,12-15 Months,128,Hospital_DB_Extract.xlsx
13-08-2020,Child,0-15,Outpatient,Paediatric Dermatology,H04,0-3 Months,88,Hospital_DB_Extract.xlsx
14-05-2019,Adult,65+,Outpatient,Otolaryngology (ENT),H02,18+ Months,90,Hospital_DB_Extract.xlsx
15-05-2019,Adult,16-64,Outpatient,Ophthalmology,H08,18+ Months,147,Hospital_DB_Extract.xlsx
02-03-2018,Child,0-15,Outpatient,Paediatric Urology,H05,9-12 Months,14,Hospital_DB_Extract.xlsx
18-11-2020,Adult,16-64,Outpatient,Orthopaedics,H01,6-9 Months,79,Hospital_DB_Extract.xlsx
08-07-2018,Child,0-15,Outpatient,Ophthalmology,H08,3-6 Months,119,Hospital_DB_Extract.xlsx
28-02-2018,Child,0-15,Outpatient,Ophthalmology,H08,18+ Months,145,Hospital_DB_Extract.xlsx
01-12-2019,Adult,16-64,Day Case,Orthopaedics,H01,15-18 Months,49,Hospital_DB_Extract.xlsx
29-07-2019,Child,0-15,Outpatient,Paediatric Dermatology,H04,6-9 Months,94,Hospital_DB_Extract.xlsx
22-02-2019,Child,0-15,Outpatient,Otolaryngology (ENT),H02,18+ Months,72,Hospital_DB_Extract.xlsx
12-07-2019,Adult,65+,Outpatient,Ophthalmology,H08,12-15 Months,99,Hospital_DB_Extract.xlsx
23-05-2018,Adult,16-64,Inpatient,General Surgery,H06,18+ Months,148,Hospital_DB_Extract.xlsx
16-08-2019,Adult,16-64,Day Case,Cardiology,H07,18+ Months,40,Hospital_DB_Extract.xlsx
05-11-2020,Child,0-15,Outpatient,Paediatric Urology,H05,9-12 Months,136,Hospital_DB_Extract.xlsx
28-09-2018,Child,0-15,Outpatient,General Surgery,H06,12-15 Months,67,Hospital_DB_Extract.xlsx
04-02-2018,Adult,16-64,Outpatient,Otolaryngology (ENT),H02,18+ Months,141,Hospital_DB_Extract.xlsx
19-02-2020,Child,0-15,Day Case,Paediatric Dermatology,H04,15-18 Months,37,Hospital_DB_Extract.xlsx
13-03-2018,Child,0-15,Outpatient,Cardiology,H07,3-6 Months,94,Hospital_DB_Extract.xlsx
03-01-2019,Adult,65+,Day Case,General Surgery,H06,12-15 Months,144,Hospital_DB_Extract.xlsx
01-02-2018,Child,0-15,Outpatient,Paediatric Dermatology,H04,18+ Months,128,Hospital_DB_Extract.xlsx
05-08-2020,Adult,16-64,Day Case,Orthopaedics,H01,9-12 Months,24,Hospital_DB_Extract.xlsx
10-01-2018,Child,0-15,Outpatient,Paediatric Urology,H05,3-6 Months,109,Hospital_DB_Extract.xlsx
18-05-2020,Child,0-15,Outpatient,Paed Orthopaedic,H03,9-12 Months,61,Hospital_DB_Extract.xlsx
12-08-2018,Adult,16-64,Outpatient,Ophthalmology,H08,0-3 Months,28,Hospital_DB_Extract.xlsx
06-08-2020,Adult,65+,Outpatient,Ophthalmology,H08,3-6 Months,3,Hospital_DB_Extract.xlsx
03-03-2019,Adult,16-64,Outpatient,Ophthalmology,H08,3-6 Months,120,Hospital_DB_Extract.xlsx
30-10-2020,Adult,65+,Outpatient,Ophthalmology,H08,18+ Months,137,Hospital_DB_Extract.xlsx
26-06-2018,Child,0-15,Outpatient,Paed Orthopaedic,H03,15-18 Months,137,Hospital_DB_Extract.xlsx
25-12-2019,Child,0-15,Outpatient,Paediatric Urology,H05,3-6 Months,57,Hospital_DB_Extract.xlsx
25-04-2020,Child,0-15,Outpatient,Paediatric Urology,H05,0-3 Months,99,Hospital_DB_Extract.xlsx
20-02-2020,Adult,16-64,Outpatient,General Surgery,H06,12-15 Months,12,Hospital_DB_Extract.xlsx
26-02-2018,Adult,16-64,Outpatient,Ophthalmology,H08,18+ Months,48,Hospital_DB_Extract.xlsx
15-08-2019,Adult,16-64,Day Case,Otolaryngology (ENT),H02,9-12 Months,56,Hospital_DB_Extract.xlsx
23-05-2019,Adult,16-64,Outpatient,Orthopaedics,H01,9-12 Months,130,Hospital_DB_Extract.xlsx
02-06-2020,Adult,16-64,Outpatient,General Surgery,H06,3-6 Months,33,Hospital_DB_Extract.xlsx
13-11-2018,Adult,16-64,Outpatient,Orthopaedics,H01,12-15 Months,28,Hospital_DB_Extract.xlsx
10-07-2019,Adult,65+,Day Case,Otolaryngology (ENT),H02,18+ Months,60,Hospital_DB_Extract.xlsx
25-02-2020,Child,0-15,Outpatient,General Surgery,H06,15-18 Months,82,Hospital_DB_Extract.xlsx
09-08-2019,Adult,16-64,Inpatient,Orthopaedics,H01,18+ Months,98,Hospital_DB_Extract.xlsx
06-07-2018,Child,0-15,Outpatient,Paed Orthopaedic,H03,6-9 Months,69,Hospital_DB_Extract.xlsx
06-06-2018,Adult,16-64,Outpatient,General Surgery,H06,3-6 Months,65,Hospital_DB_Extract.xlsx
10-04-2020,Child,0-15,Outpatient,Cardiology,H07,3-6 Months,144,Hospital_DB_Extract.xlsx
02-09-2020,Child,0-15,Outpatient,Orthopaedics,H01,6-9 Months,97,Hospital_DB_Extract.xlsx
07-01-2019,Child,0-15,Outpatient,General Surgery,H06,18+ Months,93,Hospital_DB_Extract.xlsx
01-09-2020,Child,0-15,Outpatient,Paediatric Urology,H05,18+ Months,11,Hospital_DB_Extract.xlsx
31-07-2019,Child,0-15,Outpatient,Paed Orthopaedic,H03,6-9 Months,127,Hospital_DB_Extract.xlsx
08-11-2020,Child,0-15,Day Case,Paediatric Dermatology,H04,6-9 Months,26,Hospital_DB_Extract.xlsx
30-12-2018,Child,0-15,Outpatient,Paediatric Urology,H05,6-9 Months,132,Hospital_DB_Extract.xlsx
14-09-2019,Adult,16-64,Outpatient,Orthopaedics,H01,12-15 Months,16,Hospital_DB_Extract.xlsx
21-08-2019,Adult,16-64,Outpatient,Cardiology,H07,3-6 Months,21,Hospital_DB_Extract.xlsx
